entry_name,saved_mol_path,mapping_csv_path,mapping_status,overall_status,n_frags_in_input,frag_sizes_in_input,host_atoms_total,host_atoms_heavy_noH,guest_atoms_total,guest_atoms_heavy_noH,guest_ref_heavy_noH,cd_axis_dot_to_ref,cd_orientation_ok,guest_depth_A_from_midpoint_to_O6,guest_depth_A_from_ref_midpoint_to_O6,guest_angle_deg_vs_axis,guest_rmsd_noH,guest_rmsd_status,guest_atoms_used_in_rmsd,guest_match_mode,guest_full_match_coverage_percent,guest_mcs_coverage_percent,guest_orientation,guest_orientation_status,guest_orientation_span_A,guest_orientation_distance_A,guest_orientation_atom_pair,guest_orientation_atoms_used,match_ref_matches_count,match_prb_matches_count,match_total_pairings,match_mapping_is_unique,match_best_rmsd_is_tie,match_best_rmsd_second_best_delta,guest_smiles_original_debug,guest_smiles_matching_debug
A_Complex_A_midplaneZY (ref_unmodif)_pf,C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_NoAlign_molfiles\A_Complex_A_midplaneZY_(ref_unmodif)_pf.mol,,ref,ref,2,"147,28",147,77,28,15,15,1,1,-0.186406327,-0.186406327,31.091701631709356,,ref,0,ref,,,,ref,,,ref,0,,,,,,,REF=[NH:148]([C@H:149]([C:150](=[O:151])[OH:152])[CH2:153][C:154]1:[CH:155]:[CH:157]:[CH:159]:[CH:158]:[CH:156]:1)[C:161]([CH3:160])=[O:162] | PRB=[NH:148]([C@H:149]([C:150](=[O:151])[OH:152])[CH2:153][C:154]1:[CH:155]:[CH:157]:[CH:159]:[CH:158]:[CH:156]:1)[C:161]([CH3:160])=[O:162],REF=[N:148]([C:149]([C:150]([O:151])[O:152])[C:153][C:154]1[C:155][C:157][C:159][C:158][C:156]1)[C:161]([C:160])[O:162] | PRB=[N:148]([C:149]([C:150]([O:151])[O:152])[C:153][C:154]1[C:155][C:157][C:159][C:158][C:156]1)[C:161]([C:160])[O:162]
Complex_A_midplaneZY ( 2A)_pf,C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_NoAlign_molfiles\Complex_A_midplaneZY_(_2A)_pf.mol,C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_NoAlign_molfiles\Matching_atoms\Complex_A_midplaneZY_(_2A)_pf.csv,ok,ok,2,"147,28",147,77,28,15,15,0.9999477090479489,1,-2.185507525,-1.996523875,31.09211655486123,1.8139447512240747,ok,15,full_guest_strict,100,,1,ok,7.495684849816523,7.495672135235233,A: O151->O151 | B: C159->C159,15,1,3,3,1,0,0.3877561694730418,REF=[NH:148]([C@H:149]([C:150](=[O:151])[OH:152])[CH2:153][C:154]1:[CH:155]:[CH:157]:[CH:159]:[CH:158]:[CH:156]:1)[C:161]([CH3:160])=[O:162] | PRB=[NH:148]([C@H:149]([C:150](=[O:151])[OH:152])[CH2:153][C:154]1:[CH:155]:[CH:157]:[CH:159]:[CH:158]:[CH:156]:1)[C:161]([CH3:160])=[O:162],REF=[N:148]([C:149]([C:150]([O:151])[O:152])[C:153][C:154]1[C:155][C:157][C:159][C:158][C:156]1)[C:161]([C:160])[O:162] | PRB=[N:148]([C:149]([C:150]([O:151])[O:152])[C:153][C:154]1[C:155][C:157][C:159][C:158][C:156]1)[C:161]([C:160])[O:162]
Complex_A_midplaneZY ( 2A_180y)_pf,C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_NoAlign_molfiles\Complex_A_midplaneZY_(_2A_180y)_pf.mol,C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_NoAlign_molfiles\Matching_atoms\Complex_A_midplaneZY_(_2A_180y)_pf.csv,ok,ok,2,"147,28",147,77,28,15,15,0.9999926721684925,1,-2.380843467,-2.315319015,32.61233253381317,5.664551089019783,ok,15,full_guest_strict,100,,0,ok,7.495684849816523,7.495632326067959,A: O151->O151 | B: C159->C159,15,1,3,3,1,0,0.13404221943682426,REF=[NH:148]([C@H:149]([C:150](=[O:151])[OH:152])[CH2:153][C:154]1:[CH:155]:[CH:157]:[CH:159]:[CH:158]:[CH:156]:1)[C:161]([CH3:160])=[O:162] | PRB=[NH:148]([C@H:149]([C:150](=[O:151])[OH:152])[CH2:153][C:154]1:[CH:155]:[CH:157]:[CH:159]:[CH:158]:[CH:156]:1)[C:161]([CH3:160])=[O:162],REF=[N:148]([C:149]([C:150]([O:151])[O:152])[C:153][C:154]1[C:155][C:157][C:159][C:158][C:156]1)[C:161]([C:160])[O:162] | PRB=[N:148]([C:149]([C:150]([O:151])[O:152])[C:153][C:154]1[C:155][C:157][C:159][C:158][C:156]1)[C:161]([C:160])[O:162]
Complex_A_midplaneZY ( 4A_complex)_pf,C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_NoAlign_molfiles\Complex_A_midplaneZY_(_4A_complex)_pf.mol,C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_NoAlign_molfiles\Matching_atoms\Complex_A_midplaneZY_(_4A_complex)_pf.csv,ok,ok,2,"147,28",147,77,28,15,15,1,1,-0.186406327,-0.186406327,31.091701631709356,0,ok,15,full_guest_strict,100,,1,ok,7.495684849816523,7.495684849816523,A: O151->O151 | B: C159->C159,15,1,3,3,1,0,1.2478338580367796,REF=[NH:148]([C@H:149]([C:150](=[O:151])[OH:152])[CH2:153][C:154]1:[CH:155]:[CH:157]:[CH:159]:[CH:158]:[CH:156]:1)[C:161]([CH3:160])=[O:162] | PRB=[NH:148]([C@H:149]([C:150](=[O:151])[OH:152])[CH2:153][C:154]1:[CH:155]:[CH:157]:[CH:159]:[CH:158]:[CH:156]:1)[C:161]([CH3:160])=[O:162],REF=[N:148]([C:149]([C:150]([O:151])[O:152])[C:153][C:154]1[C:155][C:157][C:159][C:158][C:156]1)[C:161]([C:160])[O:162] | PRB=[N:148]([C:149]([C:150]([O:151])[O:152])[C:153][C:154]1[C:155][C:157][C:159][C:158][C:156]1)[C:161]([C:160])[O:162]
Complex_A_midplaneZY (-1charge)_pf,C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_NoAlign_molfiles\Complex_A_midplaneZY_(-1charge)_pf.mol,C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_NoAlign_molfiles\Matching_atoms\Complex_A_midplaneZY_(-1charge)_pf.csv,ok,ok,2,"147,27",147,77,27,15,15,1,1,-0.186406327,-0.186406327,31.091701631709356,0,ok,15,full_guest_topology_relaxed,100,,1,ok,7.495684849816523,7.495684849816523,A: O151->O151 | B: C159->C159,15,1,4,4,1,0,0.8135370771980428,REF=[NH:148]([C@H:149]([C:150](=[O:151])[OH:152])[CH2:153][C:154]1:[CH:155]:[CH:157]:[CH:159]:[CH:158]:[CH:156]:1)[C:161]([CH3:160])=[O:162] | PRB=[NH:148]([C@H:149]([C:150](=[O:151])[O-:152])[CH2:153][C:154]1:[CH:155]:[CH:157]:[CH:159]:[CH:158]:[CH:156]:1)[C:161]([CH3:160])=[O:162],REF=[N:148]([C:149]([C:150]([O:151])[O:152])[C:153][C:154]1[C:155][C:157][C:159][C:158][C:156]1)[C:161]([C:160])[O:162] | PRB=[N:148]([C:149]([C:150]([O:151])[O-:152])[C:153][C:154]1[C:155][C:157][C:159][C:158][C:156]1)[C:161]([C:160])[O:162]
Complex_A_midplaneZY (-3A)_pf,C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_NoAlign_molfiles\Complex_A_midplaneZY_(-3A)_pf.mol,C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_NoAlign_molfiles\Matching_atoms\Complex_A_midplaneZY_(-3A)_pf.csv,ok,ok,2,"147,28",147,77,28,15,15,0.9999828489025674,1,2.812759493,2.7659722993302798,31.091218120296556,2.9540230153395473,ok,15,full_guest_strict,100,,1,ok,7.495684849816523,7.495711308,A: O151->O151 | B: C159->C159,15,1,3,3,1,0,0.25274368379069134,REF=[NH:148]([C@H:149]([C:150](=[O:151])[OH:152])[CH2:153][C:154]1:[CH:155]:[CH:157]:[CH:159]:[CH:158]:[CH:156]:1)[C:161]([CH3:160])=[O:162] | PRB=[NH:148]([C@H:149]([C:150](=[O:151])[OH:152])[CH2:153][C:154]1:[CH:155]:[CH:157]:[CH:159]:[CH:158]:[CH:156]:1)[C:161]([CH3:160])=[O:162],REF=[N:148]([C:149]([C:150]([O:151])[O:152])[C:153][C:154]1[C:155][C:157][C:159][C:158][C:156]1)[C:161]([C:160])[O:162] | PRB=[N:148]([C:149]([C:150]([O:151])[O:152])[C:153][C:154]1[C:155][C:157][C:159][C:158][C:156]1)[C:161]([C:160])[O:162]
Complex_A_midplaneZY (-50z)_pf,C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_NoAlign_molfiles\Complex_A_midplaneZY_(-50z)_pf.mol,C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_NoAlign_molfiles\Matching_atoms\Complex_A_midplaneZY_(-50z)_pf.csv,ok,ok,2,"147,28",147,77,28,15,15,0.9999980965188769,1,-0.061315916,-0.015744698,19.35951026664528,2.216502610853124,ok,15,full_guest_strict,100,,1,ok,7.495684849816523,7.4956473916454485,A: O151->O151 | B: C159->C159,15,1,3,3,1,0,0.3212275821602537,REF=[NH:148]([C@H:149]([C:150](=[O:151])[OH:152])[CH2:153][C:154]1:[CH:155]:[CH:157]:[CH:159]:[CH:158]:[CH:156]:1)[C:161]([CH3:160])=[O:162] | PRB=[NH:148]([C@H:149]([C:150](=[O:151])[OH:152])[CH2:153][C:154]1:[CH:155]:[CH:157]:[CH:159]:[CH:158]:[CH:156]:1)[C:161]([CH3:160])=[O:162],REF=[N:148]([C:149]([C:150]([O:151])[O:152])[C:153][C:154]1[C:155][C:157][C:159][C:158][C:156]1)[C:161]([C:160])[O:162] | PRB=[N:148]([C:149]([C:150]([O:151])[O:152])[C:153][C:154]1[C:155][C:157][C:159][C:158][C:156]1)[C:161]([C:160])[O:162]
Complex_A_midplaneZY (180y)_pf,C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_NoAlign_molfiles\Complex_A_midplaneZY_(180y)_pf.mol,C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_NoAlign_molfiles\Matching_atoms\Complex_A_midplaneZY_(180y)_pf.csv,ok,ok,2,"147,28",147,77,28,15,15,0.9999925711726075,1,-0.381735698,-0.422570558,32.61336315958445,5.252701047723208,ok,15,full_guest_strict,100,,0,ok,7.495684849816523,7.495701254,A: O151->O151 | B: C159->C159,15,1,3,3,1,0,0.14431007579897592,REF=[NH:148]([C@H:149]([C:150](=[O:151])[OH:152])[CH2:153][C:154]1:[CH:155]:[CH:157]:[CH:159]:[CH:158]:[CH:156]:1)[C:161]([CH3:160])=[O:162] | PRB=[NH:148]([C@H:149]([C:150](=[O:151])[OH:152])[CH2:153][C:154]1:[CH:155]:[CH:157]:[CH:159]:[CH:158]:[CH:156]:1)[C:161]([CH3:160])=[O:162],REF=[N:148]([C:149]([C:150]([O:151])[O:152])[C:153][C:154]1[C:155][C:157][C:159][C:158][C:156]1)[C:161]([C:160])[O:162] | PRB=[N:148]([C:149]([C:150]([O:151])[O:152])[C:153][C:154]1[C:155][C:157][C:159][C:158][C:156]1)[C:161]([C:160])[O:162]
Complex_A_midplaneZY (180y_complex)_pf,C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_NoAlign_molfiles\Complex_A_midplaneZY_(180y_complex)_pf.mol,C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_NoAlign_molfiles\Matching_atoms\Complex_A_midplaneZY_(180y_complex)_pf.csv,ok,ok,2,"147,28",147,77,28,15,15,1,1,-0.186406327,-0.186406327,31.091701631709356,0,ok,15,full_guest_strict,100,,1,ok,7.495684849816523,7.495684849816523,A: O151->O151 | B: C159->C159,15,1,3,3,1,0,1.2478338580367796,REF=[NH:148]([C@H:149]([C:150](=[O:151])[OH:152])[CH2:153][C:154]1:[CH:155]:[CH:157]:[CH:159]:[CH:158]:[CH:156]:1)[C:161]([CH3:160])=[O:162] | PRB=[NH:148]([C@H:149]([C:150](=[O:151])[OH:152])[CH2:153][C:154]1:[CH:155]:[CH:157]:[CH:159]:[CH:158]:[CH:156]:1)[C:161]([CH3:160])=[O:162],REF=[N:148]([C:149]([C:150]([O:151])[O:152])[C:153][C:154]1[C:155][C:157][C:159][C:158][C:156]1)[C:161]([C:160])[O:162] | PRB=[N:148]([C:149]([C:150]([O:151])[O:152])[C:153][C:154]1[C:155][C:157][C:159][C:158][C:156]1)[C:161]([C:160])[O:162]
Complex_A_midplaneZY (180z)_pf,C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_NoAlign_molfiles\Complex_A_midplaneZY_(180z)_pf.mol,C:\Users\user_name\AppData\Local\Temp\CDGA_Tool_processed_molfiles\CDGA_NoAlign_molfiles\Matching_atoms\Complex_A_midplaneZY_(180z)_pf.csv,ok,ok,2,"147,28",147,77,28,15,15,0.9999922575775115,1,-0.29914178,-0.35591332,30.731849849206647,5.223430909734421,ok,15,full_guest_strict,100,,0,ok,7.495684849816523,7.495636594209192,A: O151->O151 | B: C159->C159,15,1,3,3,1,0,0.12756942475893052,REF=[NH:148]([C@H:149]([C:150](=[O:151])[OH:152])[CH2:153][C:154]1:[CH:155]:[CH:157]:[CH:159]:[CH:158]:[CH:156]:1)[C:161]([CH3:160])=[O:162] | PRB=[NH:148]([C@H:149]([C:150](=[O:151])[OH:152])[CH2:153][C:154]1:[CH:155]:[CH:157]:[CH:159]:[CH:158]:[CH:156]:1)[C:161]([CH3:160])=[O:162],REF=[N:148]([C:149]([C:150]([O:151])[O:152])[C:153][C:154]1[C:155][C:157][C:159][C:158][C:156]1)[C:161]([C:160])[O:162] | PRB=[N:148]([C:149]([C:150]([O:151])[O:152])[C:153][C:154]1[C:155][C:157][C:159][C:158][C:156]1)[C:161]([C:160])[O:162]
