entry_name,pyranose_1_atoms,phi1,psi1,pyranose_2_atoms,phi2,psi2,pyranose_3_atoms,phi3,psi3,pyranose_4_atoms,phi4,psi4,pyranose_5_atoms,phi5,psi5,pyranose_6_atoms,phi6,psi6,pyranose_7_atoms,phi7,psi7
A_Complex_A_midplaneZY (ref_unmodif),H1=H2; C1=C1; C4=C7; O4=O16; H4=H8,-14.8765,-3.5059,H1=H108; C1=C107; C4=C113; O4=O122; H4=H114,-15.7538,3.7344,H1=H90; C1=C89; C4=C95; O4=O104; H4=H96,13.5280,21.5219,H1=H72; C1=C71; C4=C77; O4=O86; H4=H78,4.7548,15.5800,H1=H54; C1=C53; C4=C59; O4=O69; H4=H60,-10.1823,-30.5670,H1=H36; C1=C35; C4=C41; O4=O50; H4=H42,41.2224,9.7249,H1=H20; C1=C19; C4=C25; O4=O33; H4=H26,-5.6020,-12.2451
Complex_A_midplaneZY ( 2A),H1=H2; C1=C1; C4=C7; O4=O16; H4=H8,-14.8765,-3.5059,H1=H108; C1=C107; C4=C113; O4=O122; H4=H114,-15.7538,3.7344,H1=H90; C1=C89; C4=C95; O4=O104; H4=H96,13.5280,21.5219,H1=H72; C1=C71; C4=C77; O4=O86; H4=H78,4.7548,15.5800,H1=H54; C1=C53; C4=C59; O4=O69; H4=H60,-10.1823,-30.5670,H1=H36; C1=C35; C4=C41; O4=O50; H4=H42,41.2224,9.7249,H1=H20; C1=C19; C4=C25; O4=O33; H4=H26,-5.6020,-12.2451
Complex_A_midplaneZY ( 2A_180y),H1=H2; C1=C1; C4=C7; O4=O16; H4=H8,-14.8765,-3.5059,H1=H108; C1=C107; C4=C113; O4=O122; H4=H114,-15.7538,3.7344,H1=H90; C1=C89; C4=C95; O4=O104; H4=H96,13.5280,21.5219,H1=H72; C1=C71; C4=C77; O4=O86; H4=H78,4.7548,15.5800,H1=H54; C1=C53; C4=C59; O4=O69; H4=H60,-10.1823,-30.5670,H1=H36; C1=C35; C4=C41; O4=O50; H4=H42,41.2224,9.7249,H1=H20; C1=C19; C4=C25; O4=O33; H4=H26,-5.6020,-12.2451
Complex_A_midplaneZY ( 4A_complex),H1=H2; C1=C1; C4=C7; O4=O16; H4=H8,-14.8765,-3.5059,H1=H108; C1=C107; C4=C113; O4=O122; H4=H114,-15.7538,3.7344,H1=H90; C1=C89; C4=C95; O4=O104; H4=H96,13.5280,21.5219,H1=H72; C1=C71; C4=C77; O4=O86; H4=H78,4.7548,15.5800,H1=H54; C1=C53; C4=C59; O4=O69; H4=H60,-10.1823,-30.5670,H1=H36; C1=C35; C4=C41; O4=O50; H4=H42,41.2224,9.7249,H1=H20; C1=C19; C4=C25; O4=O33; H4=H26,-5.6020,-12.2451
Complex_A_midplaneZY (-1charge),H1=H2; C1=C1; C4=C7; O4=O16; H4=H8,-14.8765,-3.5059,H1=H108; C1=C107; C4=C113; O4=O122; H4=H114,-15.7538,3.7344,H1=H90; C1=C89; C4=C95; O4=O104; H4=H96,13.5280,21.5219,H1=H72; C1=C71; C4=C77; O4=O86; H4=H78,4.7548,15.5800,H1=H54; C1=C53; C4=C59; O4=O69; H4=H60,-10.1823,-30.5670,H1=H36; C1=C35; C4=C41; O4=O50; H4=H42,41.2224,9.7249,H1=H20; C1=C19; C4=C25; O4=O33; H4=H26,-5.6020,-12.2451
Complex_A_midplaneZY (-3A),H1=H2; C1=C1; C4=C7; O4=O16; H4=H8,-14.8765,-3.5059,H1=H108; C1=C107; C4=C113; O4=O122; H4=H114,-15.7538,3.7344,H1=H90; C1=C89; C4=C95; O4=O104; H4=H96,13.5280,21.5219,H1=H72; C1=C71; C4=C77; O4=O86; H4=H78,4.7548,15.5800,H1=H54; C1=C53; C4=C59; O4=O69; H4=H60,-10.1823,-30.5670,H1=H36; C1=C35; C4=C41; O4=O50; H4=H42,41.2224,9.7249,H1=H20; C1=C19; C4=C25; O4=O33; H4=H26,-5.6020,-12.2451
Complex_A_midplaneZY (-50z),H1=H2; C1=C1; C4=C7; O4=O16; H4=H8,-14.8765,-3.5059,H1=H108; C1=C107; C4=C113; O4=O122; H4=H114,-15.7538,3.7344,H1=H90; C1=C89; C4=C95; O4=O104; H4=H96,13.5280,21.5219,H1=H72; C1=C71; C4=C77; O4=O86; H4=H78,4.7548,15.5800,H1=H54; C1=C53; C4=C59; O4=O69; H4=H60,-10.1823,-30.5670,H1=H36; C1=C35; C4=C41; O4=O50; H4=H42,41.2224,9.7249,H1=H20; C1=C19; C4=C25; O4=O33; H4=H26,-5.6020,-12.2451
Complex_A_midplaneZY (180y),H1=H2; C1=C1; C4=C7; O4=O16; H4=H8,-14.8765,-3.5059,H1=H108; C1=C107; C4=C113; O4=O122; H4=H114,-15.7538,3.7344,H1=H90; C1=C89; C4=C95; O4=O104; H4=H96,13.5280,21.5219,H1=H72; C1=C71; C4=C77; O4=O86; H4=H78,4.7548,15.5800,H1=H54; C1=C53; C4=C59; O4=O69; H4=H60,-10.1823,-30.5670,H1=H36; C1=C35; C4=C41; O4=O50; H4=H42,41.2224,9.7249,H1=H20; C1=C19; C4=C25; O4=O33; H4=H26,-5.6020,-12.2451
Complex_A_midplaneZY (180y_complex),H1=H2; C1=C1; C4=C7; O4=O16; H4=H8,-14.8765,-3.5059,H1=H108; C1=C107; C4=C113; O4=O122; H4=H114,-15.7538,3.7344,H1=H90; C1=C89; C4=C95; O4=O104; H4=H96,13.5280,21.5219,H1=H72; C1=C71; C4=C77; O4=O86; H4=H78,4.7548,15.5800,H1=H54; C1=C53; C4=C59; O4=O69; H4=H60,-10.1823,-30.5670,H1=H36; C1=C35; C4=C41; O4=O50; H4=H42,41.2224,9.7249,H1=H20; C1=C19; C4=C25; O4=O33; H4=H26,-5.6020,-12.2451
Complex_A_midplaneZY (180z),H1=H2; C1=C1; C4=C7; O4=O16; H4=H8,-14.8765,-3.5059,H1=H108; C1=C107; C4=C113; O4=O122; H4=H114,-15.7538,3.7344,H1=H90; C1=C89; C4=C95; O4=O104; H4=H96,13.5280,21.5219,H1=H72; C1=C71; C4=C77; O4=O86; H4=H78,4.7548,15.5800,H1=H54; C1=C53; C4=C59; O4=O69; H4=H60,-10.1823,-30.5670,H1=H36; C1=C35; C4=C41; O4=O50; H4=H42,41.2224,9.7249,H1=H20; C1=C19; C4=C25; O4=O33; H4=H26,-5.6020,-12.2451
